ID;Section 5 of 6 [I am always prepared.];Section 5 of 6 [I am easily disturbed.];Section 5 of 6 [I am exacting (demanding) in my work.];Section 5 of 6 [I am full of ideas.];Section 5 of 6 [I am interested in people.];Section 5 of 6 [I am not interested in abstract ideas.];Section 5 of 6 [I am not interested in other people's problems.];Section 5 of 6 [I am not really interested in others.];Section 5 of 6 [I am quick to understand things.];Section 5 of 6 [I am quiet around strangers.];Section 5 of 6 [I am relaxed most of the time.];Section 5 of 6 [I am the life of the party.];Section 5 of 6 [I change my mood a lot.];Section 5 of 6 [I do not have a good imagination.];Section 5 of 6 [I don't like to draw attention to myself.];Section 5 of 6 [I don't mind being the center of attention.];Section 5 of 6 [I don't talk a lot.];Section 5 of 6 [I feel comfortable around people.];Section 5 of 6 [I feel little concern for others.];Section 5 of 6 [I feel others' emotions.];Section 5 of 6 [I follow a schedule.];Section 5 of 6 [I get chores done right away.];Section 5 of 6 [I get irritated easily.];Section 5 of 6 [I get stressed out easily.];Section 5 of 6 [I get upset easily.];Section 5 of 6 [I have a rich vocabulary.];Section 5 of 6 [I have a soft (kind) heart.];Section 5 of 6 [I have a vivid imagination.];Section 5 of 6 [I have difficulty understanding abstract ideas.];Section 5 of 6 [I have excellent ideas.];Section 5 of 6 [I have frequent mood swings.];Section 5 of 6 [I have little to say.];Section 5 of 6 [I insult people.];Section 5 of 6 [I keep in the background.];Section 5 of 6 [I leave my belongings lying around.];Section 5 of 6 [I like order.];Section 5 of 6 [I make a mess of things.];Section 5 of 6 [I make people feel at ease.];Section 5 of 6 [I neglect my duties.];Section 5 of 6 [I often feel blue (down).];Section 5 of 6 [I often forget to put things back in their proper place];Section 5 of 6 [I pay attention to details.];Section 5 of 6 [I seldom feel blue (down).];Section 5 of 6 [I spend time reflecting on things.];Section 5 of 6 [I start conversations.];Section 5 of 6 [I sympathize with others' feelings.];Section 5 of 6 [I take time out for others.];Section 5 of 6 [I talk to a lot of different people at parties.];Section 5 of 6 [I use difficult words.];Section 5 of 6 [I worry about things.];;;;;;;;;;;;;;;;;;;IPIP_HIGH_RISK
270;(3, 3);(4, 3);(3, 3);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 5);(1, 1);(1, 3);(1, 3);(2, 1);(2, 3);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
271;(3, 5);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 3);(2, 3);(5, 3);(1, 1);(4, 5);(1, 3);(4, 1);(5, 5);(1, 3);(1, 1);(1, 1);(1, 1);(2, 3);(2, 1);(3, 3);(3, 3);(4, 3);(4, 5);(4, 3);(5, 5);(2, 5);(5, 5);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 1);(3, 3);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 3);(2, 3);(2, 3);(1, 1);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
272;(3, 3);(4, 3);(3, 3);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 1);(4, 5);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 5);(2, 5);(3, 1);(3, 3);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 3);(5, 3);(5, 5);(4, 5);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 3);(3, 5);(4, 5);(5, 5);(1, 3);(2, 5);(2, 3);(1, 1);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
273;(3, 5);(4, 3);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 3);(1, 3);(4, 3);(5, 3);(1, 5);(1, 3);(1, 1);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 3);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
274;(3, 3);(4, 1);(3, 5);(5, 5);(2, 3);(5, 5);(2, 1);(2, 5);(5, 3);(1, 1);(4, 3);(1, 1);(4, 1);(5, 5);(1, 3);(1, 1);(1, 3);(1, 3);(2, 5);(2, 3);(3, 1);(3, 3);(4, 3);(4, 1);(4, 1);(5, 1);(2, 5);(5, 5);(5, 5);(5, 5);(4, 1);(1, 3);(2, 3);(1, 1);(3, 3);(3, 5);(3, 1);(2, 3);(3, 1);(4, 1);(3, 1);(3, 5);(4, 5);(5, 5);(1, 3);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
275;(3, 3);(4, 5);(3, 5);(5, 5);(2, 3);(5, 3);(2, 3);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 3);(1, 1);(1, 3);(2, 3);(2, 3);(3, 3);(3, 3);(4, 3);(4, 5);(4, 5);(5, 3);(2, 5);(5, 3);(5, 3);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 3);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 3);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
276;(3, 3);(4, 5);(3, 5);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 3);(5, 1);(2, 5);(5, 3);(5, 3);(5, 5);(4, 3);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 3);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
277;(3, 5);(4, 5);(3, 3);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 3);(1, 1);(4, 5);(5, 1);(1, 1);(1, 3);(1, 3);(1, 5);(2, 1);(2, 3);(3, 3);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 3);(5, 5);(5, 3);(5, 5);(4, 5);(1, 5);(2, 5);(1, 1);(3, 5);(3, 3);(3, 3);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
278;(3, 5);(4, 1);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 5);(5, 5);(1, 5);(4, 5);(1, 5);(4, 3);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 3);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 3);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 1);(2, 5);(3, 5);(4, 3);(3, 1);(3, 5);(4, 3);(5, 5);(1, 3);(2, 3);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
279;(3, 5);(4, 1);(3, 5);(5, 5);(2, 5);(5, 1);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 1);(5, 5);(1, 1);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 5);(3, 1);(4, 5);(4, 3);(4, 1);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 3);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 5);(4, 1);;;;;;;;;;;;;;;;;;;
280;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 5);(1, 5);(4, 5);(5, 1);(1, 1);(1, 1);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 1);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
281;(3, 5);(4, 5);(3, 3);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 3);(1, 5);(4, 5);(5, 5);(1, 5);(1, 5);(1, 3);(1, 5);(2, 1);(2, 3);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 3);(5, 5);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 5);(2, 5);(2, 3);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
282;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 5);(5, 5);(1, 5);(4, 5);(1, 5);(4, 5);(5, 5);(1, 5);(1, 5);(1, 1);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 1);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 3);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 1);(5, 1);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
283;(3, 3);(4, 3);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 5);(4, 3);(1, 3);(4, 3);(5, 5);(1, 3);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 1);(4, 3);(4, 3);(4, 3);(5, 5);(2, 5);(5, 1);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 1);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
284;(3, 3);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 5);(4, 5);(1, 1);(4, 3);(5, 5);(1, 3);(1, 1);(1, 3);(1, 3);(2, 5);(2, 5);(3, 5);(3, 3);(4, 5);(4, 1);(4, 5);(5, 3);(2, 3);(5, 1);(5, 3);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 1);(1, 1);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
285;(3, 3);(4, 3);(3, 5);(5, 5);(2, 3);(5, 5);(2, 5);(2, 3);(5, 5);(1, 3);(4, 3);(1, 5);(4, 1);(5, 5);(1, 1);(1, 3);(1, 3);(1, 3);(2, 5);(2, 3);(3, 3);(3, 3);(4, 3);(4, 3);(4, 3);(5, 3);(2, 3);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 3);(1, 3);(3, 3);(3, 3);(3, 3);(2, 3);(3, 3);(4, 3);(3, 3);(3, 5);(4, 3);(5, 3);(1, 3);(2, 1);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
286;(3, 1);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 3);(2, 5);(5, 1);(1, 1);(4, 1);(1, 1);(4, 5);(5, 5);(1, 5);(1, 5);(1, 5);(1, 5);(2, 5);(2, 1);(3, 1);(3, 1);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 3);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 5);(3, 1);(3, 1);(3, 5);(2, 5);(3, 1);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 1);(2, 3);(1, 1);(5, 1);(4, 5);;;;;;;;;;;;;;;;;;;
287;(3, 3);(4, 5);(3, 1);(5, 5);(2, 3);(5, 3);(2, 3);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 3);(5, 5);(1, 3);(1, 1);(1, 3);(1, 3);(2, 5);(2, 3);(3, 3);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 3);(5, 5);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 3);(3, 5);(4, 3);(3, 5);(3, 3);(4, 1);(5, 1);(1, 3);(2, 1);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
288;(3, 3);(4, 3);(3, 1);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 3);(1, 3);(4, 1);(1, 3);(4, 3);(5, 1);(1, 1);(1, 3);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 3);(4, 3);(4, 5);(4, 3);(5, 3);(2, 1);(5, 1);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 1);(3, 5);(3, 3);(3, 3);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 3);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
289;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 1);(2, 1);(2, 5);(5, 5);(1, 3);(4, 3);(1, 1);(4, 5);(5, 5);(1, 1);(1, 3);(1, 3);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
290;(3, 3);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 3);(4, 5);(1, 3);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 1);(2, 5);(3, 1);(3, 1);(4, 3);(4, 1);(4, 1);(5, 3);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 3);(3, 5);(3, 3);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
291;(3, 3);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 3);(1, 5);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 5);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
292;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 1);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
293;(3, 5);(4, 5);(3, 3);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 1);(5, 3);(1, 3);(1, 3);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 3);(4, 3);(4, 5);(5, 3);(2, 5);(5, 5);(5, 3);(5, 3);(4, 3);(1, 1);(2, 5);(1, 1);(3, 5);(3, 5);(3, 3);(2, 5);(3, 5);(4, 3);(3, 3);(3, 3);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
294;(3, 3);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 1);(4, 3);(5, 5);(1, 1);(1, 3);(1, 1);(1, 3);(2, 5);(2, 3);(3, 3);(3, 3);(4, 1);(4, 3);(4, 1);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 1);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
295;(3, 5);(4, 1);(3, 3);(5, 3);(2, 3);(5, 3);(2, 1);(2, 5);(5, 5);(1, 1);(4, 3);(1, 3);(4, 5);(5, 1);(1, 1);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 3);(4, 5);(4, 1);(4, 5);(5, 1);(2, 1);(5, 3);(5, 3);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 3);(3, 5);(4, 5);(5, 5);(1, 1);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
296;(3, 3);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 5);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 3);(2, 5);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 3);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 3);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
297;(3, 5);(4, 3);(3, 3);(5, 5);(2, 5);(5, 3);(2, 3);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 3);(1, 3);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 3);(4, 3);(5, 5);(2, 5);(5, 5);(5, 3);(5, 5);(4, 3);(1, 3);(2, 5);(1, 1);(3, 3);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 1);(5, 5);(4, 1);;;;;;;;;;;;;;;;;;;
298;(3, 5);(4, 3);(3, 3);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 1);(1, 3);(4, 3);(5, 5);(1, 3);(1, 3);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 3);(5, 3);(5, 5);(4, 1);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 3);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 3);(1, 3);(5, 1);(4, 5);;;;;;;;;;;;;;;;;;;
299;(3, 3);(4, 5);(3, 1);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 1);(1, 1);(4, 3);(5, 5);(1, 1);(1, 1);(1, 1);(1, 5);(2, 1);(2, 5);(3, 3);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 1);(5, 5);(4, 3);(1, 1);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 5);(5, 5);(1, 3);(2, 5);(2, 3);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
300;(3, 3);(4, 5);(3, 1);(5, 3);(2, 3);(5, 5);(2, 5);(2, 3);(5, 3);(1, 1);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 1);(1, 1);(1, 1);(2, 5);(2, 3);(3, 1);(3, 5);(4, 3);(4, 5);(4, 5);(5, 1);(2, 3);(5, 1);(5, 3);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
301;(3, 3);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 3);(1, 3);(4, 5);(1, 5);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 1);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 5);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
302;(3, 5);(4, 5);(3, 3);(5, 3);(2, 5);(5, 3);(2, 1);(2, 5);(5, 5);(1, 3);(4, 3);(1, 3);(4, 3);(5, 5);(1, 1);(1, 3);(1, 3);(1, 5);(2, 3);(2, 1);(3, 5);(3, 5);(4, 5);(4, 5);(4, 3);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
303;(3, 3);(4, 5);(3, 3);(5, 3);(2, 3);(5, 5);(2, 3);(2, 3);(5, 5);(1, 3);(4, 5);(1, 1);(4, 3);(5, 5);(1, 3);(1, 3);(1, 3);(1, 3);(2, 3);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 3);(5, 3);(2, 3);(5, 3);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 3);(2, 3);(3, 5);(4, 5);(3, 3);(3, 3);(4, 3);(5, 3);(1, 3);(2, 3);(2, 5);(1, 1);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
304;(3, 3);(4, 3);(3, 3);(5, 3);(2, 1);(5, 5);(2, 3);(2, 5);(5, 3);(1, 3);(4, 3);(1, 3);(4, 3);(5, 5);(1, 3);(1, 3);(1, 3);(1, 3);(2, 3);(2, 3);(3, 3);(3, 3);(4, 5);(4, 3);(4, 5);(5, 3);(2, 3);(5, 3);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 3);(2, 3);(3, 5);(4, 3);(3, 5);(3, 3);(4, 3);(5, 3);(1, 3);(2, 3);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
305;(3, 5);(4, 3);(3, 3);(5, 5);(2, 5);(5, 3);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 3);(1, 1);(1, 3);(2, 1);(2, 3);(3, 5);(3, 5);(4, 3);(4, 1);(4, 5);(5, 5);(2, 5);(5, 5);(5, 3);(5, 5);(4, 5);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 1);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 5);(1, 1);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
306;(3, 5);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 3);(2, 3);(5, 5);(1, 3);(4, 3);(1, 5);(4, 5);(5, 5);(1, 3);(1, 5);(1, 5);(1, 3);(2, 5);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 5);(5, 5);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 3);(1, 5);(3, 5);(3, 3);(3, 3);(2, 5);(3, 5);(4, 3);(3, 3);(3, 5);(4, 3);(5, 5);(1, 5);(2, 3);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
307;(3, 5);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 5);(1, 1);(4, 5);(5, 5);(1, 5);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 5);(5, 1);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
308;(3, 3);(4, 5);(3, 1);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 3);(1, 5);(2, 1);(2, 5);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 1);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 5);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
309;(3, 5);(4, 5);(3, 1);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 1);(1, 1);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 3);(4, 3);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 1);(3, 5);(3, 5);(4, 5);(5, 5);(1, 3);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
