CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
180,Democratic Republic of the Congo,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",10.11,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.07,,C, , , , , , , , , , , , , , , 
208,Denmark,567,Y,"Proportion of land area covered by forest, percentage",10.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.5,,C, , , , , , , , , , , , ,12.6,,C, , , , , , , , , , , , ,12.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
208,Denmark,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",50230.6,,G,60270.8,,G,54322.9,,G,57065.9,,G,61000.5,,G,57172.2,,G,72181.2,,G,61557.9,,G,59552.1,,G,55148,,G,51330.7,,G,52918.5,,G,52049.4,,G,55998.8,,G,50600.9,,G,47095.3,,G,54986.7,,G,50256.2,,G,46955.9,,G,44513.7,,G,46570.9,,G,40377.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
208,Denmark,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",10.78,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.94,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.95,,C, , , , , , , , , , , , , , , 
262,Djibouti,567,Y,"Proportion of land area covered by forest, percentage",0.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
262,Djibouti,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",377.7,,G,381.4,,G,392.4,,G,407,,G,403.4,,G,399.7,,G,407,,G,366.7,,G,392.4,,G,421.7,,G,363,,G,326.4,,G,407,,G,429,,G,410.7,,G,421.7,,G,418,,G,462,,G,498.7,,G,462,,G,517,,G,473,,G, , , , , , , , , , , , , , , , , , , , , , , , 
262,Djibouti,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05,,C, , , , , , , , , , , , , , , 
212,Dominica,567,Y,"Proportion of land area covered by forest, percentage",66.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,63.5,,C, , , , , , , , , , , , ,61.3,,C, , , , , , , , , , , , ,60,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
212,Dominica,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",58.7,,G,58.7,,G,58.7,,G,62.3,,G,69.7,,G,80.7,,G,73.3,,G,80.7,,G,77,,G,80.7,,G,102.7,,G,113.7,,G,102.7,,G,113.7,,G,110,,G,113.7,,G,110,,G,150.3,,G,128.3,,G,128.3,,G,135.7,,G,124.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
212,Dominica,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.55,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.55,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.55,,C, , , , , , , , , , , , , , , 
214,Dominican Republic,567,Y,"Proportion of land area covered by forest, percentage",40.8,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,40.8,,E, , , , , , , , , , , , ,40.8,,E, , , , , , , , , , , , ,40.8,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
214,Dominican Republic,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",9229.8,,G,10043.9,,G,10924,,G,11763.7,,G,12475.1,,G,15885.4,,G,17326.6,,G,18001.3,,G,18397.3,,G,18562.4,,G,19790.8,,G,19816.5,,G,21330.9,,G,21514.3,,G,18309.3,,G,18639.4,,G,19710.1,,G,21301.6,,G,21415.3,,G,20546.2,,G,21363.9,,G,21888.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
214,Dominican Republic,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.2,,C, , , , , , , , , , , , , , , 
218,Ecuador,567,Y,"Proportion of land area covered by forest, percentage",49.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,42.8,,C, , , , , , , , , , , , ,39.2,,C, , , , , , , , , , , , ,35.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
218,Ecuador,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",16835.2,,G,16486.8,,G,22302.7,,G,24187.5,,G,13637.6,,G,22812.4,,G,23890.5,,G,18276.3,,G,22229.4,,G,21272.3,,G,20942.2,,G,23446.8,,G,24689.9,,G,26523.4,,G,28657.6,,G,29908.1,,G,28859.3,,G,31308.8,,G,29827.4,,G,34601.8,,G,34249.8,,G,35727.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
218,Ecuador,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",14.64,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.31,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.43,,C, , , , , , , , , , , , , , , 
818,Egypt,567,Y,"Proportion of land area covered by forest, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , ,0.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
818,Egypt,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",75943.6,,G,78715.8,,G,81264.4,,G,93156.5,,G,85312.8,,G,95723.4,,G,102030.6,,G,108202.2,,G,122243.1,,G,125393.1,,G,141326.2,,G,125451.7,,G,127193.6,,G,147963.5,,G,150911.7,,G,167207.9,,G,178615.9,,G,193342.6,,G,196796.9,,G,198069.3,,G,204677.3,,G,220790.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
818,Egypt,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.38,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.76,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.58,,C, , , , , , , , , , , , , , , 
222,El Salvador,567,Y,"Proportion of land area covered by forest, percentage",18.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,,C, , , , , , , , , , , , ,14.9,,C, , , , , , , , , , , , ,13.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
222,El Salvador,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2618.2,,G,3230.6,,G,3428.6,,G,3890.7,,G,4429.7,,G,5280.5,,G,4895.4,,G,5760.9,,G,5812.2,,G,5698.5,,G,5742.5,,G,5947.9,,G,6039.5,,G,6552.9,,G,6365.9,,G,6453.9,,G,6846.3,,G,6978.3,,G,6545.6,,G,6442.9,,G,6307.2,,G,6684.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
222,El Salvador,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.05,,C, , , , , , , , , , , , , , , 
226,Equatorial Guinea,567,Y,"Proportion of land area covered by forest, percentage",66.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,62.1,,C, , , , , , , , , , , , ,60.1,,C, , , , , , , , , , , , ,58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
226,Equatorial Guinea,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",121,,G,201.7,,G,216.4,,G,102.7,,G,36.7,,G,132,,G,117.3,,G,293.4,,G,168.7,,G,473,,G,454.7,,G,3094.9,,G,4979.8,,G,6017.5,,G,5218.1,,G,4712.1,,G,4752.4,,G,4796.4,,G,4503.1,,G,4620.4,,G,4679.1,,G,6688.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
226,Equatorial Guinea,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.64,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.12,,C, , , , , , , , , , , , , , , 
232,Eritrea,567,Y,"Proportion of land area covered by forest, percentage",16,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.6,,C, , , , , , , , , , , , ,15.4,,C, , , , , , , , , , , , ,15.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
232,Eritrea,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , ,223.7,,G,293.4,,G,341,,G,528,,G,590.4,,G,619.7,,G,608.7,,G,630.7,,G,605.1,,G,726.1,,G,770.1,,G,766.4,,G,561.1,,G,579.4,,G,414.4,,G,513.4,,G,513.4,,G,520.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
232,Eritrea,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.96,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.96,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.06,,C, , , , , , , , , , , , , , , 
233,Estonia,567,Y,"Proportion of land area covered by forest, percentage",49.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,52.9,,C, , , , , , , , , , , , ,53.1,,C, , , , , , , , , , , , ,52.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
233,Estonia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,22995.8,,G,18782.4,,G,18327.7,,G,16827.9,,G,18811.7,,G,18353.3,,G,16508.8,,G,15287.7,,G,15181.4,,G,15595.8,,G,14935.7,,G,17051.6,,G,17216.6,,G,16780.2,,G,16189.8,,G,18844.7,,G,17491.6,,G,14745,,G,18338.7,,G,18650.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
233,Estonia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.64,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.55,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.85,,C, , , , , , , , , , , , , , , 
231,Ethiopia,567,Y,"Proportion of land area covered by forest, percentage",13.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.5,,C, , , , , , , , , , , , ,11.9,,C, , , , , , , , , , , , ,11.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
231,Ethiopia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",3017.9,,G,2984.9,,G,2966.6,,G,3028.9,,G,2948.3,,G,2145.2,,G,3744,,G,4272.1,,G,5023.8,,G,5064.1,,G,5819.5,,G,4308.7,,G,4481.1,,G,4946.8,,G,5243.8,,G,5053.1,,G,5419.8,,G,5914.9,,G,6369.6,,G,6560.3,,G,6618.9,,G,7543,,G, , , , , , , , , , , , , , , , , , , , , , , , 
231,Ethiopia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",17.72,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.72,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.4,,C, , , , , , , , , , , , , , , 
234,Faeroe Islands,567,Y,"Proportion of land area covered by forest, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
234,Faeroe Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",623.4,,G,594.1,,G,605.1,,G,667.4,,G,586.7,,G,689.4,,G,608.7,,G,594.1,,G,630.7,,G,638.1,,G,689.4,,G,762.7,,G,733.4,,G,748.1,,G,766.4,,G,722.4,,G,678.4,,G,689.4,,G,630.7,,G,575.7,,G,630.7,,G,568.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
234,Faeroe Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),567,Y,"Proportion of land area covered by forest, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",36.7,,G,36.7,,G,36.7,,G,36.7,,G,36.7,,G,40.3,,G,44,,G,47.7,,G,36.7,,G,36.7,,G,36.7,,G,44,,G,44,,G,47.7,,G,51.3,,G,51.3,,G,58.7,,G,58.7,,G,58.7,,G,58.7,,G,55,,G,55,,G, , , , , , , , , , , , , , , , , , , , , , , , 
238,Falkland Islands (Malvinas),616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.24,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.24,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.18,,C, , , , , , , , , , , , , , , 
242,Fiji,567,Y,"Proportion of land area covered by forest, percentage",52.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,53.7,,C, , , , , , , , , , , , ,54.6,,C, , , , , , , , , , , , ,55.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
242,Fiji,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",817.7,,G,674.7,,G,722.4,,G,762.7,,G,817.7,,G,869.1,,G,894.7,,G,737.1,,G,704.1,,G,803.1,,G,865.4,,G,1114.8,,G,836.1,,G,861.7,,G,1133.1,,G,1364.1,,G,1360.5,,G,1202.8,,G,1078.1,,G,847.1,,G,1294.5,,G,1235.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
242,Fiji,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.13,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.09,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.97,,C, , , , , , , , , , , , , , , 
246,Finland,567,Y,"Proportion of land area covered by forest, percentage",72,3,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,73.9,3,C, , , , , , , , , , , , ,72.9,3,C, , , , , , , , , , , , ,72.9,3,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
246,Finland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",51745,,G,53699.5,,G,47473,,G,50402.9,,G,57223.5,,G,52713.1,,G,61282.9,,G,59933.4,,G,56988.8,,G,55423,,G,52427.1,,G,57051.2,,G,61682.6,,G,69130.3,,G,67091.4,,G,54645.6,,G,66200.4,,G,63985.5,,G,56596.5,,G,53167.8,,G,61844,,G,54766.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
246,Finland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.96,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.54,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.07,,C, , , , , , , , , , , , , , , 
250,France,567,Y,"Proportion of land area covered by forest, percentage",26.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.9,,C, , , , , , , , , , , , ,28.6,,C, , , , , , , , , , , , ,29,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
250,France,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",375632.8,,G,390627.2,,G,365819.9,,G,359861,,G,338093.7,,G,349116.7,,G,375280.8,,G,351507.6,,G,381877.7,,G,373461.9,,G,364063.4,,G,381155.3,,G,378929.4,,G,386333.1,,G,388401.3,,G,390550.2,,G,381467,,G,374914.1,,G,371734.8,,G,356626.8,,G,357437.2,,G,338805.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
250,France,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",6.83,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.69,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25.73,,C, , , , , , , , , , , , , , , 
254,French Guiana,567,Y,"Proportion of land area covered by forest, percentage",99.2,2,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,98.8,2,C, , , , , , , , , , , , ,98.5,2,C, , , , , , , , , , , , ,98.3,2,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
254,French Guiana,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",814.1,,G,839.7,,G,880.1,,G,876.4,,G,894.7,,G,909.4,,G,905.7,,G,898.4,,G,839.7,,G,671.1,,G,572.1,,G,630.7,,G,561.1,,G,733.4,,G,696.7,,G,660.1,,G,575.7,,G,678.4,,G,693.1,,G,700.4,,G,700.4,,G,718.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
254,French Guiana,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.15,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.79,,C, , , , , , , , , , , , , , , 
258,French Polynesia,567,Y,"Proportion of land area covered by forest, percentage",15,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.7,,C, , , , , , , , , , , , ,35.5,,C, , , , , , , , , , , , ,42.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
258,French Polynesia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",630.7,,G,638.1,,G,645.4,,G,616.1,,G,539,,G,572.1,,G,579.4,,G,597.7,,G,594.1,,G,583.1,,G,630.7,,G,737.1,,G,737.1,,G,799.4,,G,788.4,,G,850.7,,G,850.7,,G,843.4,,G,869.1,,G,872.7,,G,883.7,,G,858.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
258,French Polynesia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01,,C, , , , , , , , , , , , , , , 
266,Gabon,567,Y,"Proportion of land area covered by forest, percentage",85.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,85.4,,C, , , , , , , , , , , , ,85.4,,C, , , , , , , , , , , , ,85.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
266,Gabon,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",4844.1,,G,1477.8,,G,2130.5,,G,3282,,G,3351.6,,G,3857.7,,G,3535,,G,3546,,G,1631.8,,G,1437.5,,G,1052.4,,G,1782.2,,G,1778.5,,G,1441.1,,G,1851.8,,G,2174.5,,G,2082.9,,G,1991.2,,G,2057.2,,G,2145.2,,G,2244.2,,G,2236.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
266,Gabon,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.12,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.75,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.28,,C, , , , , , , , , , , , , , , 
270,Gambia,567,Y,"Proportion of land area covered by forest, percentage",44.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,46.1,,C, , , , , , , , , , , , ,47.1,,C, , , , , , , , , , , , ,48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
270,Gambia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",190.7,,G,198,,G,198,,G,209,,G,209,,G,216.4,,G,216.4,,G,216.4,,G,234.7,,G,256.7,,G,275,,G,282.4,,G,315.4,,G,315.4,,G,322.7,,G,322.7,,G,337.4,,G,396,,G,410.7,,G,436.4,,G,473,,G,421.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
270,Gambia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.21,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.41,,C, , , , , , , , , , , , , , , 
268,Georgia,567,Y,"Proportion of land area covered by forest, percentage",40,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,39.8,,C, , , , , , , , , , , , ,39.6,,C, , , , , , , , , , , , ,39.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
268,Georgia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,15335.4,,G,9952.2,,G,6083.6,,G,2302.9,,G,4066.7,,G,4437.1,,G,4961.5,,G,4345.4,,G,4536.1,,G,3769.7,,G,3388.3,,G,3773.3,,G,4323.4,,G,5067.8,,G,6149.6,,G,6420.9,,G,6417.3,,G,6270.6,,G,6530.9,,G,7931.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
268,Georgia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.39,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.45,,C, , , , , , , , , , , , , , , 
276,Germany,567,Y,"Proportion of land area covered by forest, percentage",30.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.8,,C, , , , , , , , , , , , ,31.8,,C, , , , , , , , , , , , ,31.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
276,Germany,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , ,929973.2,,G,891975.7,,G,877645.1,,G,865558.7,,G,864110.2,,G,889614.2,,G,862276.7,,G,855364.4,,G,822460.4,,G,829977.8,,G,853662.9,,G,828771.3,,G,823391.8,,G,817711.7,,G,797279.1,,G,805845.3,,G,780627.3,,G,782152.8,,G,721064.2,,G,750697.2,,G,729458,,G, , , , , , , , , , , , , , , , , , , , , , , , 
276,Germany,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",19.21,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.66,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38.46,,C, , , , , , , , , , , , , , , 
288,Ghana,567,Y,"Proportion of land area covered by forest, percentage",32.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.8,,C, , , , , , , , , , , , ,24.2,,C, , , , , , , , , , , , ,21.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
288,Ghana,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",3931,,G,4044.7,,G,4096,,G,4664.4,,G,5071.5,,G,5427.2,,G,5757.2,,G,6395.2,,G,6402.6,,G,6549.3,,G,6288.9,,G,6919.6,,G,7422,,G,7631,,G,7348.7,,G,6993,,G,9358.2,,G,9827.6,,G,9138.2,,G,7708,,G,10102.6,,G,10080.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
288,Ghana,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",7.52,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.79,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.79,,C, , , , , , , , , , , , , , , 
292,Gibraltar,567,Y,"Proportion of land area covered by forest, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
292,Gibraltar,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",95.3,,G,106.3,,G,91.7,,G,333.7,,G,399.7,,G,348.4,,G,194.4,,G,121,,G,311.7,,G,322.7,,G,333.7,,G,344.7,,G,344.7,,G,355.7,,G,366.7,,G,388.7,,G,421.7,,G,418,,G,425.4,,G,465.7,,G,473,,G,454.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
292,Gibraltar,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,567,Y,"Proportion of land area covered by forest, percentage",25.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.9,,E, , , , , , , , , , , , ,29.1,,E, , , , , , , , , , , , ,30.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",74278.8,,G,74062.4,,G,75499.9,,G,75712.5,,G,77909.1,,G,78781.8,,G,80241.3,,G,83717.6,,G,87751.3,,G,86636.5,,G,91616.3,,G,93805.5,,G,93669.8,,G,95738,,G,97149.8,,G,98675.3,,G,97285.5,,G,98246.3,,G,97809.9,,G,94902,,G,86717.2,,G,84047.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.14,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.56,,C, , , , , , , , , , , , , , , 
304,Greenland,567,Y,"Proportion of land area covered by forest, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
304,Greenland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",557.4,,G,550.1,,G,484,,G,502.4,,G,506,,G,506,,G,517,,G,524.4,,G,531.7,,G,542.7,,G,531.7,,G,539,,G,539,,G,531.7,,G,583.1,,G,608.7,,G,627.1,,G,638.1,,G,660.1,,G,575.7,,G,663.7,,G,707.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
304,Greenland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",22.22,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.22,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.38,,C, , , , , , , , , , , , , , , 
